card Number,billingStartDate,billingEndDate,paymentDueDate
Card1,3/13/2014,4/12/2014,4/27/2014
Card1,4/13/2014,5/12/2014,5/27/2014
Card1,5/13/2014,6/12/2014,6/27/2014
Card1,6/13/2014,7/12/2014,7/27/2014
Card1,7/13/2014,8/12/2014,8/27/2014
Card1,8/13/2014,9/12/2014,9/27/2014
Card2,2/10/2014,3/12/2014,3/27/2014
Card2,3/13/2014,4/12/2014,4/27/2014
Card2,4/13/2014,5/12/2014,5/27/2014
Card2,5/13/2014,6/12/2014,6/27/2014
Card2,6/13/2014,7/12/2014,7/27/2014
Card2,7/13/2014,8/12/2014,8/27/2014
Card2,8/13/2014,9/12/2014,9/27/2014
Card3,2/10/2014,3/12/2014,3/27/2014
Card3,3/13/2014,4/12/2014,4/27/2014
Card3,4/13/2014,5/12/2014,5/27/2014
Card3,5/13/2014,6/12/2014,6/27/2014
Card3,6/13/2014,7/12/2014,7/27/2014
Card3,7/13/2014,8/12/2014,8/27/2014
Card3,8/13/2014,9/12/2014,9/27/2014
Card4,2/10/2014,3/12/2014,3/27/2014
Card4,3/13/2014,4/12/2014,4/27/2014
Card4,4/13/2014,5/12/2014,5/27/2014
Card4,5/13/2014,6/12/2014,6/27/2014
Card4,6/13/2014,7/12/2014,7/27/2014
Card4,7/13/2014,8/12/2014,8/27/2014
Card4,8/13/2014,9/12/2014,9/27/2014
Card5,2/10/2014,3/12/2014,3/27/2014
Card5,3/13/2014,4/12/2014,4/27/2014
Card5,4/13/2014,5/12/2014,5/27/2014
Card5,5/13/2014,6/12/2014,6/27/2014
Card5,6/13/2014,7/12/2014,7/27/2014
Card5,7/13/2014,8/12/2014,8/27/2014
Card5,8/13/2014,9/12/2014,9/27/2014
Card6,2/10/2014,3/12/2014,3/27/2014
Card6,3/13/2014,4/12/2014,4/27/2014
Card6,4/13/2014,5/12/2014,5/27/2014
Card6,5/13/2014,6/12/2014,6/27/2014
Card6,6/13/2014,7/12/2014,7/27/2014
Card6,7/13/2014,8/12/2014,8/27/2014
Card6,8/13/2014,9/12/2014,9/27/2014
Card7,2/10/2014,3/12/2014,3/27/2014
Card7,3/13/2014,4/12/2014,4/27/2014
Card7,4/13/2014,5/12/2014,5/27/2014
Card7,5/13/2014,6/12/2014,6/27/2014
Card7,6/13/2014,7/12/2014,7/27/2014
Card7,7/13/2014,8/12/2014,8/27/2014
Card7,8/13/2014,9/12/2014,9/27/2014
Card8,2/10/2014,3/12/2014,3/27/2014
Card8,3/13/2014,4/12/2014,4/27/2014
Card8,4/13/2014,5/12/2014,5/27/2014
Card8,5/13/2014,6/12/2014,6/27/2014
Card8,6/13/2014,7/12/2014,7/27/2014
Card8,7/13/2014,8/12/2014,8/27/2014
Card8,8/13/2014,9/12/2014,9/27/2014
Card9,2/10/2014,3/12/2014,3/27/2014
Card9,3/13/2014,4/12/2014,4/27/2014
Card9,4/13/2014,5/12/2014,5/27/2014
Card9,5/13/2014,6/12/2014,6/27/2014
Card9,6/13/2014,7/12/2014,7/27/2014
Card9,7/13/2014,8/12/2014,8/27/2014
Card9,8/13/2014,9/12/2014,9/27/2014
Card10,2/10/2014,3/12/2014,3/27/2014
Card10,3/13/2014,4/12/2014,4/27/2014
Card10,4/13/2014,5/12/2014,5/27/2014
Card10,5/13/2014,6/12/2014,6/27/2014
Card10,6/13/2014,7/12/2014,7/27/2014
Card10,7/13/2014,8/12/2014,8/27/2014
Card10,8/13/2014,9/12/2014,9/27/2014
Card11,2/10/2014,3/12/2014,3/27/2014
Card11,3/13/2014,4/12/2014,4/27/2014
Card11,4/13/2014,5/12/2014,5/27/2014
Card11,5/13/2014,6/12/2014,6/27/2014
Card11,6/13/2014,7/12/2014,7/27/2014
Card11,7/13/2014,8/12/2014,8/27/2014
Card11,8/13/2014,9/12/2014,9/27/2014
Card12,2/10/2014,3/12/2014,3/27/2014
Card12,3/13/2014,4/12/2014,4/27/2014
Card12,4/13/2014,5/12/2014,5/27/2014
Card12,5/13/2014,6/12/2014,6/27/2014
Card12,6/13/2014,7/12/2014,7/27/2014
Card12,7/13/2014,8/12/2014,8/27/2014
Card12,8/13/2014,9/12/2014,9/27/2014
Card13,2/10/2014,3/12/2014,3/27/2014
Card13,3/13/2014,4/12/2014,4/27/2014
Card13,4/13/2014,5/12/2014,5/27/2014
Card13,5/13/2014,6/12/2014,6/27/2014
Card13,6/13/2014,7/12/2014,7/27/2014
Card13,7/13/2014,8/12/2014,8/27/2014
Card13,8/13/2014,9/12/2014,9/27/2014
Card14,2/10/2014,3/12/2014,3/27/2014
Card14,3/13/2014,4/12/2014,4/27/2014
Card14,4/13/2014,5/12/2014,5/27/2014
Card14,5/13/2014,6/12/2014,6/27/2014
Card14,6/13/2014,7/12/2014,7/27/2014
Card14,7/13/2014,8/12/2014,8/27/2014
Card14,8/13/2014,9/12/2014,9/27/2014
Card15,2/10/2014,3/12/2014,3/27/2014
Card15,3/13/2014,4/12/2014,4/27/2014
Card15,4/13/2014,5/12/2014,5/27/2014
Card15,5/13/2014,6/12/2014,6/27/2014
Card15,6/13/2014,7/12/2014,7/27/2014
Card15,7/13/2014,8/12/2014,8/27/2014
Card15,8/13/2014,9/12/2014,9/27/2014
Card16,2/10/2014,3/12/2014,3/27/2014
Card16,3/13/2014,4/12/2014,4/27/2014
Card16,4/13/2014,5/12/2014,5/27/2014
Card16,5/13/2014,6/12/2014,6/27/2014
Card16,6/13/2014,7/12/2014,7/27/2014
Card16,7/13/2014,8/12/2014,8/27/2014
Card16,8/13/2014,9/12/2014,9/27/2014
Card17,2/10/2014,3/12/2014,3/27/2014
Card17,3/13/2014,4/12/2014,4/27/2014
Card17,4/13/2014,5/12/2014,5/27/2014
Card17,5/13/2014,6/12/2014,6/27/2014
Card17,6/13/2014,7/12/2014,7/27/2014
Card17,7/13/2014,8/12/2014,8/27/2014
Card17,8/13/2014,9/12/2014,9/27/2014
Card18,2/10/2014,3/12/2014,3/27/2014
Card18,3/13/2014,4/12/2014,4/27/2014
Card18,4/13/2014,5/12/2014,5/27/2014
Card18,5/13/2014,6/12/2014,6/27/2014
Card18,6/13/2014,7/12/2014,7/27/2014
Card18,7/13/2014,8/12/2014,8/27/2014
Card18,8/13/2014,9/12/2014,9/27/2014
Card19,2/10/2014,3/12/2014,3/27/2014
Card19,3/13/2014,4/12/2014,4/27/2014
Card19,4/13/2014,5/12/2014,5/27/2014
Card19,5/13/2014,6/12/2014,6/27/2014
Card19,6/13/2014,7/12/2014,7/27/2014
Card19,7/13/2014,8/12/2014,8/27/2014
Card19,8/13/2014,9/12/2014,9/27/2014
Card20,2/10/2014,3/12/2014,3/27/2014
Card20,3/13/2014,4/12/2014,4/27/2014
Card20,4/13/2014,5/12/2014,5/27/2014
Card20,5/13/2014,6/12/2014,6/27/2014
Card20,6/13/2014,7/12/2014,7/27/2014
Card20,7/13/2014,8/12/2014,8/27/2014
Card20,8/13/2014,9/12/2014,9/27/2014
Card21,2/10/2014,3/12/2014,3/27/2014
Card21,3/13/2014,4/12/2014,4/27/2014
Card21,4/13/2014,5/12/2014,5/27/2014
Card21,5/13/2014,6/12/2014,6/27/2014
Card21,6/13/2014,7/12/2014,7/27/2014
