card number,rank
Card1,101
Card10,235
Card1000,819
Card1001,806
Card1002,725
Card1003,944
Card1004,1038
Card1005,678
Card1007,1039
Card1008,73
Card1009,228
Card101,637
Card1010,1051
Card1011,317
Card1012,788
Card1013,1045
Card1014,442
Card1015,943
Card1016,896
Card1017,112
Card1018,689
Card1019,591
Card102,407
Card1020,849
Card1021,1012
Card1022,879
Card1023,865
Card1024,901
Card1025,956
Card1026,932
Card1027,888
Card1028,1047
Card1029,688
Card103,108
Card1030,1103
Card1031,928
Card1032,440
Card1033,706
Card1034,850
Card1035,710
Card1036,929
Card1037,866
Card1038,971
Card1039,417
Card104,1018
Card1040,960
Card1041,361
Card1042,321
Card1043,852
Card1044,542
Card1045,1080
Card1046,1027
Card1047,1000
Card1048,814
Card1049,1052
Card105,963
Card1050,902
Card1051,1057
Card1052,478
Card1053,953
Card1054,628
Card1055,215
Card1056,94
Card1057,247
Card1058,604
Card1059,378
Card106,446
Card1060,53
Card1061,86
Card1062,508
Card1063,422
Card1064,470
Card1065,648
Card1066,795
Card1067,1042
Card1068,770
Card1069,769
Card107,811
Card1070,427
Card1071,776
Card1072,964
Card1073,954
Card1074,1033
Card1075,1071
Card1076,1028
Card1077,899
Card1078,1007
Card1079,903
Card108,919
Card1080,1031
Card1081,917
Card1082,579
Card1083,1003
Card1084,1008
Card1085,880
Card1086,1065
Card1087,615
Card1088,569
Card1089,371
Card109,933
Card1090,685
Card1091,741
Card1092,767
Card1093,859
Card1094,809
Card1095,946
Card1096,1053
Card1097,820
Card1099,738
Card11,104
Card110,337
Card1100,937
Card1101,727
Card1102,219
Card1103,651
Card1104,987
Card1105,990
Card1106,1077
Card1107,787
Card1108,558
Card1109,726
Card111,409
Card1110,977
Card1111,900
Card1112,1021
Card1113,568
Card1114,249
Card1115,967
Card1116,751
Card1117,439
Card1118,149
Card1119,1026
Card112,1025
Card1120,599
Card1121,810
Card1122,1040
Card1123,481
Card1124,544
Card1125,923
Card1126,77
Card1127,1054
Card1128,793
Card1129,813
Card113,344
Card1130,891
Card1131,712
Card1132,1063
Card1133,976
Card1134,1009
Card1135,938
Card1136,984
Card1137,824
Card1138,916
Card1139,1011
Card114,307
Card1140,969
Card1141,993
Card1142,952
Card1143,1048
Card115,774
Card116,1046
Card118,714
Card119,597
Card12,57
Card120,876
Card121,1023
Card122,650
Card123,1059
Card124,1034
Card125,644
Card126,979
Card127,552
Card128,703
Card129,1060
Card13,12
Card130,992
Card131,1001
Card132,765
Card133,554
Card134,844
Card135,1024
Card138,989
Card139,395
Card14,147
Card140,817
Card141,940
Card142,926
Card143,547
Card144,499
Card145,516
Card146,1097
Card147,693
Card148,491
Card149,289
Card15,9
Card150,662
Card151,1064
Card152,525
Card153,221
Card154,939
Card155,204
Card156,116
Card157,830
Card158,506
Card159,285
Card16,95
Card160,264
Card161,400
Card162,143
Card163,271
Card164,330
Card165,519
Card166,825
Card167,257
Card168,4
Card169,592
Card17,51
Card170,133
Card171,551
Card172,461
Card173,342
Card174,546
Card175,497
Card176,234
Card177,433
Card178,259
Card179,14
Card18,58
Card180,1089
Card181,316
Card182,205
Card183,603
Card184,465
Card185,1068
Card186,642
Card187,294
Card188,199
Card189,540
Card19,178
Card190,488
Card191,831
Card192,582
Card193,279
Card194,466
Card195,326
Card196,482
Card197,157
Card198,629
Card199,640
Card2,293
Card20,66
Card200,696
Card201,88
Card202,385
Card203,620
Card204,708
Card205,800
Card206,345
Card207,303
Card208,273
Card209,584
Card21,229
Card210,700
Card211,272
Card212,169
Card213,730
Card214,495
Card215,818
Card216,869
Card217,608
Card218,945
Card22,84
Card220,480
Card221,74
Card222,632
Card223,851
Card224,674
Card225,436
Card226,91
Card227,873
Card228,111
Card229,683
Card23,89
Card230,907
Card231,735
Card232,311
Card233,1
Card234,555
Card235,258
Card236,1112
Card237,502
Card238,666
Card239,846
Card24,52
Card240,577
Card241,128
Card242,762
Card243,142
Card244,222
Card245,339
Card246,789
Card247,699
Card248,156
Card249,450
Card25,83
Card250,534
Card251,521
Card252,786
Card253,509
Card254,41
Card255,453
Card256,854
Card257,692
Card258,874
Card259,43
Card26,23
Card260,363
Card261,656
Card262,117
Card263,798
Card264,672
Card265,681
Card266,720
Card267,535
Card268,476
Card269,246
Card27,47
Card270,722
Card271,32
Card272,514
Card273,563
Card274,392
Card275,278
Card276,120
Card277,934
Card278,394
Card279,530
Card28,99
Card280,160
Card281,233
Card282,21
Card283,146
Card284,1017
Card285,870
Card286,2
Card287,606
Card288,13
Card289,255
Card29,42
Card290,893
Card291,619
Card292,216
Card293,570
Card294,275
Card295,236
Card296,471
Card297,947
Card298,282
Card299,855
Card3,1095
Card30,617
Card300,574
Card301,539
Card302,728
Card303,201
Card304,1111
Card305,553
Card306,318
Card307,122
Card308,22
Card309,168
Card31,374
Card310,545
Card311,1030
Card312,310
Card313,557
Card314,109
Card315,132
Card316,159
Card317,312
Card318,687
Card319,357
Card32,698
Card320,1104
Card321,921
Card322,34
Card323,401
Card324,125
Card325,382
Card326,262
Card327,167
Card328,35
Card329,424
Card33,324
Card330,566
Card331,565
Card332,864
Card333,175
Card334,38
Card335,670
Card336,837
Card337,286
Card338,296
Card339,826
Card34,196
Card340,625
Card341,425
Card342,709
Card343,1099
Card344,393
Card345,768
Card346,452
Card347,153
Card348,925
Card349,731
Card35,136
Card350,878
Card351,1093
Card352,110
Card353,200
Card354,593
Card355,402
Card356,177
Card357,541
Card358,398
Card359,114
Card36,151
Card360,206
Card361,15
Card362,1090
Card363,613
Card364,24
Card365,331
Card366,785
Card367,572
Card368,426
Card369,1070
Card370,966
Card371,576
Card372,630
Card373,416
Card374,839
Card375,145
Card376,655
Card377,829
Card378,1004
Card379,862
Card38,415
Card380,927
Card381,675
Card382,816
Card383,791
Card384,895
Card385,492
Card386,958
Card387,1076
Card388,746
Card389,575
Card39,328
Card390,744
Card391,892
Card392,972
Card393,911
Card394,300
Card395,225
Card396,845
Card397,522
Card398,1110
Card399,134
Card4,28
Card40,277
Card400,881
Card401,511
Card402,1075
Card403,1022
Card404,1016
Card405,999
Card406,602
Card407,827
Card408,823
Card409,1006
Card41,191
Card410,773
Card411,25
Card412,26
Card413,98
Card414,950
Card415,430
Card416,836
Card417,1056
Card418,949
Card419,309
Card420,775
Card421,609
Card422,1078
Card423,1092
Card424,988
Card425,1041
Card426,1074
Card427,965
Card428,633
Card429,137
Card43,959
Card430,610
Card431,290
Card432,660
Card433,951
Card434,753
Card435,676
Card436,244
Card437,341
Card438,985
Card439,561
Card44,573
Card440,760
Card441,729
Card442,373
Card443,863
Card444,843
Card445,763
Card447,955
Card448,438
Card449,912
Card45,501
Card450,942
Card451,251
Card452,605
Card453,930
Card454,528
Card455,834
Card456,832
Card457,931
Card458,691
Card459,867
Card46,68
Card460,661
Card461,974
Card462,1010
Card463,848
Card464,1035
Card465,154
Card466,807
Card467,840
